county_fips,county_name,state_abbr,clay_mean,silt_mean,sand_mean,ph_mean,soc_mean,bdod_mean
31045,Dawes,NE,26.58152828872257,40.35887352530763,33.0594205886084,7.183404160852467,25.41461531142966,1.3475206139794493
31141,Platte,NE,34.51286497759926,47.46603970338329,18.021023868376332,6.177102966167156,30.231032751429012,1.3910874015139811
31071,Garfield,NE,17.89048080472499,27.231981358434847,54.87779623477299,6.510117509536114,26.070627230220254,1.390405131044666
31055,Douglas,NE,29.340016544877983,55.61651454570523,15.043945953398595,6.557096373914243,25.819134151385633,1.4132568592306631
31143,Polk,NE,32.76166891851015,52.258815463106735,14.979322027062455,6.111869567847708,29.415160620298856,1.3664877291334774
31179,Wayne,NE,36.07574171029668,48.846450261780106,15.078280977312392,6.342678883071553,32.860158813263524,1.4043212914485168
31139,Pierce,NE,24.45408062778889,33.816533312817356,41.72950607785813,6.241747961224804,29.127798122788118,1.3995433143560547
31173,Thurston,NE,34.866161188980186,54.42690107942646,10.707225712904785,6.518398582245851,32.826544627034,1.4198274125986787
31119,Madison,NE,30.276595113110865,41.31911792275965,28.404421322334706,6.159742532183477,30.609322272215973,1.4046052055993001
31149,Rock,NE,11.792478799069894,16.27534195048557,71.93214847490084,6.280238681438928,26.600244494597185,1.397415709205307
31145,Red Willow,NE,24.0820568792284,47.05056120632267,28.867990339510477,6.919622869351168,19.791296270493707,1.3957927329586797
31011,Boone,NE,26.255719664528222,40.98641953363605,32.75753437939337,6.308015125317131,29.936370247079168,1.3781652473215584
31013,Box Butte,NE,18.044929066314747,30.751377433190367,51.20361266908611,7.223315737380402,22.62490762124711,1.3547304519960408
31073,Gosper,NE,24.999317759337693,51.47131522968131,23.52931910082214,6.830206396964412,24.890996722945133,1.3624384354458519
31117,McPherson,NE,15.674217371110078,22.587734943489703,61.738137482582445,6.707149713577953,23.087024307168292,1.3698848118903855
31097,Johnson,NE,35.89568202764977,52.723672811059906,11.380657450076805,6.2654055299539175,27.271353302611367,1.349752534562212
31165,Sioux,NE,19.358804364426195,29.353732331031203,51.28697968810982,7.171424207972035,21.615431606455008,1.3576582783254993
31005,Arthur,NE,18.74295408937024,17.274206099970893,63.982318969346956,7.268250126380613,31.615683451033256,1.3213244688184562
31003,Antelope,NE,16.45164640441301,24.468806915360794,59.079540516803036,6.062564908550209,28.35504245057705,1.391386153869859
31085,Hayes,NE,19.9429117706253,32.520105893827505,47.53735544099206,6.823833851965384,20.080949948136794,1.378764572012447
31111,Lincoln,NE,20.081540738874367,30.529016408932,49.38938773581934,6.81456489559384,23.408609177663696,1.3727236937419294
31047,Dawson,NE,24.706114198249757,45.34277110438226,29.950707084151333,6.829146840581639,25.779659268625426,1.3550489135859982
31067,Gage,NE,36.21216769861073,55.454919446754765,8.333145427101623,6.133151587961679,27.37661337522718,1.3698817114869235
31163,Sherman,NE,25.40245262681018,49.08334244606564,25.514029962663834,6.76954212425601,28.49479949385281,1.3752211269585866
31021,Burt,NE,35.415550546691186,57.89049172548787,6.693467386361389,6.511238309903712,28.872748482511817,1.4336303062656939
31121,Merrick,NE,21.21011026431004,34.839504621371816,43.950141884222475,6.400976974217611,29.824833792767958,1.379209502189071
31133,Pawnee,NE,37.866159433615294,51.30766672796371,10.825878080176535,6.28744789751134,27.411810408238324,1.3612118425891873
31113,Logan,NE,15.831794053573072,21.324985425424195,62.84360252830536,6.443637814120462,23.646805866650304,1.3753723420576234
31153,Sarpy,NE,32.34913330839257,55.10250904102757,12.547322608804091,6.599625888514777,26.367382466641725,1.405527871305649
31075,Grant,NE,24.87983594048073,26.607921594811142,48.5119881088643,7.123367353427445,31.847294289711307,1.2886004069693502
31161,Sheridan,NE,22.11098073101184,34.57975114490625,43.30926639592154,7.172646677611683,27.636277542555952,1.3270213427806101
31053,Dodge,NE,33.86284895757094,55.29094330942473,10.84667405533134,6.342339139708496,26.9200184019573,1.4278590995587712
31009,Blaine,NE,11.662591577910485,17.162051345194854,71.17543403312196,6.1958874592132,22.445362617743026,1.3823582466293172
31183,Wheeler,NE,18.44717376347374,27.19379558137757,54.35906429172081,6.5224799327268554,27.440206406238055,1.397957801391331
31029,Chase,NE,20.55357930619611,35.09002946121454,44.35670281192639,6.9414554765467145,19.268448735944226,1.3936880504696827
31061,Franklin,NE,26.619090241439455,42.0261253404327,31.354762997643746,6.668929587808684,25.89896416659017,1.3655759050154535
31051,Dixon,NE,31.808842658491187,51.141305157122524,17.05045001642396,6.670736888207598,33.55796342932224,1.3976905726486368
31167,Stanton,NE,36.51401949365537,49.07254337031815,14.413993440814076,6.3326365475387725,31.43066572672102,1.4161579721694355
31155,Saunders,NE,34.307457484296,54.824802742454416,10.868088325417498,6.219739160410603,27.500361958020527,1.426912057606864
31033,Cheyenne,NE,19.349241777515637,37.66869635401307,42.98217983143713,7.045564747698945,18.09211665916464,1.3751881974948392
31069,Garden,NE,17.652809617975954,25.030945172637068,57.31617695955761,7.272812067969831,22.577829305426736,1.348167579581051
31035,Clay,NE,31.166908205159633,59.96461180219376,8.86832066915865,6.071710889147619,29.93692321833446,1.3122331331576689
31159,Seward,NE,33.69921722414456,55.81095271049596,10.48969627066513,6.056530565167243,30.796975009611685,1.3707006535947712
31185,York,NE,31.861638593471447,57.97167885903978,10.166797811520256,6.051735107887134,30.733142251183374,1.3526546074875514
31083,Harlan,NE,25.655000875252632,49.04440554432757,25.300197329683794,6.863906172918092,24.04843648052961,1.3827124874679737
31019,Buffalo,NE,24.73760764478023,50.47499919966706,24.787402759547973,6.743853443032302,27.636301501424594,1.3586274290104683
